ï»¿,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimers,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This is an analytics report and currently we support downloading top 8000 listings by sold quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ Any fees charged or credits applied to these listings outside this time range are not included in this report.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ You had $323.83 of account level fees during this time period. Here is the breakdown of these fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription fees = $323.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
"â¢ For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report for Jan 1, 2024 to Sep 29, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
"Puritan's Pride Chromium Picolinate 500 Mcg Yeast Free, 100 Count",196174487634,Other,-,17,$133.25,$129.43,$0.00,$3.82,$0.00,$24.29,$0.00,$0.00,$19.85,$4.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$105.14,$7.84,6,0,0
Item ID 196183739105,196183739105,Other,-,10,$237.23,$223.90,$0.00,$13.33,$0.00,$50.48,$0.00,$0.00,$30.60,$13.72,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.16,$173.42,$23.72,6,0,0
"Green Mountain Coffee Roasters Dark Magic Decaf, Single-Serve  K-Cup Pods",196119901430,Other,-,9,$427.30,$421.04,$0.00,$6.26,$0.00,$70.02,$0.00,$0.00,$61.05,$16.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.99,$0.00,$351.02,$47.48,7,0,0
"Perrier Sparkling Water, 11.15 Fl Oz Cans (Pack of 24)",196119906397,Other,-,9,$261.44,$257.78,$0.00,$3.66,$0.00,$57.03,$0.00,$0.00,$33.58,$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.45,$200.75,$29.05,6,3,0
"De Cecco Farfalle Pasta, 16 Oz",196187671324,Other,-,9,$56.27,$56.27,$0.00,$0.00,$0.00,$23.36,$0.00,$0.00,$7.65,$5.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.65,$32.91,$6.25,9,0,0
"Splash Blast Mandarin Orange Flavored Water, 16.9 fl oz, 6 Pack",196187676847,Other,-,9,$70.27,$70.27,$0.00,$0.00,$0.00,$16.21,$0.00,$0.00,$9.88,$6.33,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$54.06,$7.81,9,0,0
"Yonex GR 303 Combo Badminton Racquet with Full Cover, Set of 2 (Black)",196129267629,Other,-,8,$347.85,$319.57,$0.00,$28.28,$0.00,$76.32,$0.00,$0.00,$51.95,$23.50,$0.00,$0.00,$0.00,$0.87,$0.00,$0.00,$0.00,$0.00,$243.25,$43.48,6,0,0
"Kirkland Signature S'more Caramel Cluster, 26.3 Ounce",196183834750,Other,-,8,$174.48,$169.80,$0.00,$4.68,$0.00,$31.00,$0.00,$0.00,$23.14,$7.78,$0.00,$0.00,$0.08,$0.00,$0.00,$0.00,$0.00,$0.00,$138.80,$21.81,4,2,0
Member's Mark Restaurant Black Pepper (18 oz.),196169912070,Other,-,7,$102.31,$100.60,$0.00,$1.71,$0.00,$17.55,$0.00,$0.00,$18.26,$3.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.59,$0.00,$83.05,$14.62,4,1,0
"StarKist Chunk Light Tuna in Oil, 5 Oz, Pack of 12",196183739969,Other,-,7,$127.40,$127.40,$0.00,$0.00,$0.00,$27.50,$0.00,$0.00,$16.03,$11.47,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$99.90,$18.20,7,0,0
"SKITTLES Valentine's Day Wild Berry Chewy Candy, Sharing Size, 15.6 oz Bag",196187717340,Other,-,7,$58.97,$55.37,$0.00,$3.60,$0.00,$12.99,$0.00,$0.00,$7.68,$5.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$42.38,$8.42,7,0,0
"Garden Of Life, Powder Protein Greens Chocolate Organic, 22 Ounce",196285901322,Other,-,7,$201.13,$188.96,$0.00,$12.17,$0.00,$41.81,$0.00,$0.00,$26.04,$9.54,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.23,$147.15,$28.73,4,5,0
"Campbellâs Chunky Soup, Savory Pot Roast Soup, 18.8 Oz Can",196133073231,Other,-,6,$41.27,$41.19,$0.00,$0.08,$0.00,$6.15,$0.00,$0.00,$6.00,$0.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.04,$6.88,1,0,0
Ring Alarm Open Window Magnet (2nd Gen),196167804276,Other,-,6,$80.50,$75.37,$0.00,$5.13,$0.00,$13.86,$0.00,$0.00,$10.41,$7.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.82,$0.00,$61.51,$13.42,6,1,0
"Clear Eyes Contact Lens Relief Eye Drops, 0.5 Fl Oz",196169183777,Other,-,6,$66.42,$63.51,$0.00,$2.91,$0.00,$12.44,$0.00,$0.00,$11.50,$2.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.40,$0.00,$51.07,$11.07,3,0,0
"Seitenbacher Gluten Free Muesli Strawberry Natural Cereal, 13.2 Ounce",196183779424,Other,-,6,$112.38,$112.38,$0.00,$0.00,$0.00,$21.90,$0.00,$0.00,$14.78,$7.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$90.48,$18.73,4,0,0
"TEMPTATIONS MIXUPS Crunchy and Soft Cat Treats Catnip Fever Flavor, 16 oz. Tub",196183821354,Other,-,6,$114.30,$109.01,$0.00,$5.29,$0.00,$24.87,$0.00,$0.00,$15.71,$9.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$84.14,$19.05,5,2,0
