,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
0,MARY KAY 3D TIMEWISE AGE MINIMIZE~YOU CHOOSE~SKIN CLEANSER~DAY~NIGHT~EYE CREAM!,364499251357.0,Other,-,16.0,640.39,598.69,$0.00,$41.70,$0.00,$139.53,$0.00,$0.00,$89.52,$52.62,$7.16,$0.00,$0.00,$0.00,$0.00,$0.00,$9.77,$0.00,459.16,40.02,15,0,0
1,AFNAN 9AM DIVE EAU DE PARFUM SPRAY UNISEX 3.4 Oz / 100 Ml - SALE!!,364528468079.0,Other,-,12.0,373.03,352.44,$0.00,$20.59,$0.00,$96.84,$0.00,$0.00,$48.78,$3.07,$0.00,$0.00,$0.00,$0.50,$0.00,$0.00,$0.00,$44.49,255.6,31.09,3,3,0
2,Item ID 364513499614,364513499614.0,Other,-,7.0,259.98,258.47,$0.00,$1.51,$0.00,$49.82,$0.00,$0.00,$33.61,$16.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,208.65,37.14,5,0,0
3,Tracfone Orbic Journey V (2) + 1 Year of Service with 1200 MIN/1200 TXT/1200MB,364611958080.0,Other,-,7.0,435.91,400.64,$0.00,$35.27,$0.00,$74.12,$0.00,$0.00,$47.28,$26.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,326.52,62.27,5,0,0
4,"Essence de Beaute Collagen & Vitamin E Face and Body Cream, 4oz FREE SHIPPING",364499251684.0,Other,-,5.0,373.41,342.0,$0.00,$25.41,$6.00,$71.34,$0.00,$0.00,$47.42,$23.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,276.66,74.68,4,0,0
5,"SprayMax 3680061, 2K Urethane Glamour Clear Coat, Aerosol",364637945201.0,Other,-,5.0,171.07,158.3,$0.00,$12.77,$0.00,$29.90,$0.00,$0.00,$21.02,$8.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,128.4,34.21,4,0,0
6,BHARARA KING men 3.4 Oz Eau de Parfum spray PRIORITY SHIPPING,364625562213.0,Other,-,4.0,366.31,340.16,$0.00,$26.15,$0.00,$61.34,$0.00,$0.00,$46.65,$14.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,278.82,91.58,2,0,0
7,"Nature's Bounty,  Bone and Muscle, Magnesium 500mg, Coated Tablets 200 ct",364637945199.0,Other,-,4.0,94.07,92.53,$0.00,$1.54,$0.00,$17.62,$0.00,$0.00,$12.92,$4.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,74.91,23.52,4,0,0
8,â Swiss Army Cologne for Men 3.4 oz Brand New Tester,364508657064.0,Other,-,3.0,54.3,50.0,$0.00,$4.30,$0.00,$15.36,$0.00,$0.00,$11.02,$4.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,34.64,18.1,2,2,0
9,StriVectin Clinical Corrector Advanced Anti-aging Face Tint 1oz LIGHT 10/2017,364513500056.0,Other,-,3.0,80.51,75.17,$0.00,$5.34,$0.00,$17.39,$0.00,$0.00,$10.95,$6.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,57.78,26.84,3,0,0
10,"Nu Skin Epoch Sole Solution #Foot Treatment 4.2 fl oz SEALED, NEW STOCK",364594920197.0,Other,-,3.0,90.11,83.64,$0.00,$6.47,$0.00,$18.94,$0.00,$0.00,$11.73,$7.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,64.7,30.04,3,0,0
11,Estee Lauder Micro Essence Treatment Lotuon with Bio-Ferment 13.5 Ounces,364786212853.0,Other,-,3.0,95.1,95.1,$0.00,$0.00,$0.00,$21.57,$0.00,$0.00,$12.54,$9.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,73.53,31.7,3,0,0
12,Super Vitamin C Serum for Women Over 70: Reduce Wrinkles & Age Spots,364786518480.0,Other,-,3.0,103.04,96.5,$0.00,$6.54,$0.00,$23.72,$0.00,$0.00,$13.93,$9.79,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,72.78,34.35,3,2,0
13,Philosophy Microdelivery Peel: Two-Step Resurfacing for Pores & Lines,364799911841.0,Other,-,3.0,153.69,143.64,$0.00,$10.05,$0.00,$34.53,$0.00,$0.00,$19.38,$9.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.62,109.11,51.23,3,0,0
14,Coach Dreams by Coach perfume for women EDP 3 / 3.0 oz New in Box,364499234602.0,Other,-,2.0,154.87,145.62,$0.00,$9.25,$0.00,$32.12,$0.00,$0.00,$19.73,$12.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,113.5,77.44,2,0,0
15,Shiseido Benefiance Wrinkle Smoothing Cream  1.0oz/30ml New,364499250746.0,Other,-,2.0,47.68,44.04,$0.00,$3.64,$0.00,$10.30,$0.00,$0.00,$6.48,$3.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,33.74,23.84,2,0,0
16,2 x NIB Charlotte Tilbury Charlotteâs Magic Cream 7ml / 0.2oz each,364499252065.0,Other,-,2.0,82.29,75.32,$0.00,$6.97,$0.00,$17.04,$0.00,$0.00,$10.46,$6.58,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,58.28,41.15,2,0,0
17,CLARINS Super Restorative Rose Radiance Cream 1.7oz w/o box,364499253090.0,Other,-,2.0,89.77,83.17,$0.00,$6.60,$0.00,$18.87,$0.00,$0.00,$11.69,$7.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,64.3,44.89,2,0,0
18,AFNAN SUPREMACY NOT ONLY INTENSE EXTRAIT DE PARFUM SPRAY FOR MEN 3.4 Oz / 100 ml,364513499065.0,Other,-,2.0,99.18,92.7,$0.00,$6.48,$0.00,$16.81,$0.00,$0.00,$12.84,$3.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,75.89,49.59,1,0,0
