,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
0,"Puritan's Pride Chromium Picolinate 500 Mcg Yeast Free, 100 Count",196174487634.0,Other,-,17.0,133.25,129.43,$0.00,$3.82,$0.00,$24.29,$0.00,$0.00,$19.85,$4.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,105.14,7.84,6,0,0
1,Item ID 196183739105,196183739105.0,Other,-,10.0,237.23,223.9,$0.00,$13.33,$0.00,$50.48,$0.00,$0.00,$30.60,$13.72,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.16,173.42,23.72,6,0,0
2,"Green Mountain Coffee Roasters Dark Magic Decaf, Single-Serve  K-Cup Pods",196119901430.0,Other,-,9.0,427.3,421.04,$0.00,$6.26,$0.00,$70.02,$0.00,$0.00,$61.05,$16.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.99,$0.00,351.02,47.48,7,0,0
3,"Perrier Sparkling Water, 11.15 Fl Oz Cans (Pack of 24)",196119906397.0,Other,-,9.0,261.44,257.78,$0.00,$3.66,$0.00,$57.03,$0.00,$0.00,$33.58,$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.45,200.75,29.05,6,3,0
4,"De Cecco Farfalle Pasta, 16 Oz",196187671324.0,Other,-,9.0,56.27,56.27,$0.00,$0.00,$0.00,$23.36,$0.00,$0.00,$7.65,$5.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.65,32.91,6.25,9,0,0
5,"Splash Blast Mandarin Orange Flavored Water, 16.9 fl oz, 6 Pack",196187676847.0,Other,-,9.0,70.27,70.27,$0.00,$0.00,$0.00,$16.21,$0.00,$0.00,$9.88,$6.33,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,54.06,7.81,9,0,0
6,"Yonex GR 303 Combo Badminton Racquet with Full Cover, Set of 2 (Black)",196129267629.0,Other,-,8.0,347.85,319.57,$0.00,$28.28,$0.00,$76.32,$0.00,$0.00,$51.95,$23.50,$0.00,$0.00,$0.00,$0.87,$0.00,$0.00,$0.00,$0.00,243.25,43.48,6,0,0
7,"Kirkland Signature S'more Caramel Cluster, 26.3 Ounce",196183834750.0,Other,-,8.0,174.48,169.8,$0.00,$4.68,$0.00,$31.00,$0.00,$0.00,$23.14,$7.78,$0.00,$0.00,$0.08,$0.00,$0.00,$0.00,$0.00,$0.00,138.8,21.81,4,2,0
8,Member's Mark Restaurant Black Pepper (18 oz.),196169912070.0,Other,-,7.0,102.31,100.6,$0.00,$1.71,$0.00,$17.55,$0.00,$0.00,$18.26,$3.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.59,$0.00,83.05,14.62,4,1,0
9,"StarKist Chunk Light Tuna in Oil, 5 Oz, Pack of 12",196183739969.0,Other,-,7.0,127.4,127.4,$0.00,$0.00,$0.00,$27.50,$0.00,$0.00,$16.03,$11.47,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,99.9,18.2,7,0,0
10,"SKITTLES Valentine's Day Wild Berry Chewy Candy, Sharing Size, 15.6 oz Bag",196187717340.0,Other,-,7.0,58.97,55.37,$0.00,$3.60,$0.00,$12.99,$0.00,$0.00,$7.68,$5.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.38,8.42,7,0,0
11,"Garden Of Life, Powder Protein Greens Chocolate Organic, 22 Ounce",196285901322.0,Other,-,7.0,201.13,188.96,$0.00,$12.17,$0.00,$41.81,$0.00,$0.00,$26.04,$9.54,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.23,147.15,28.73,4,5,0
12,"Campbellâs Chunky Soup, Savory Pot Roast Soup, 18.8 Oz Can",196133073231.0,Other,-,6.0,41.27,41.19,$0.00,$0.08,$0.00,$6.15,$0.00,$0.00,$6.00,$0.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,35.04,6.88,1,0,0
13,Ring Alarm Open Window Magnet (2nd Gen),196167804276.0,Other,-,6.0,80.5,75.37,$0.00,$5.13,$0.00,$13.86,$0.00,$0.00,$10.41,$7.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.82,$0.00,61.51,13.42,6,1,0
14,"Clear Eyes Contact Lens Relief Eye Drops, 0.5 Fl Oz",196169183777.0,Other,-,6.0,66.42,63.51,$0.00,$2.91,$0.00,$12.44,$0.00,$0.00,$11.50,$2.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.40,$0.00,51.07,11.07,3,0,0
15,"Seitenbacher Gluten Free Muesli Strawberry Natural Cereal, 13.2 Ounce",196183779424.0,Other,-,6.0,112.38,112.38,$0.00,$0.00,$0.00,$21.90,$0.00,$0.00,$14.78,$7.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,90.48,18.73,4,0,0
16,"TEMPTATIONS MIXUPS Crunchy and Soft Cat Treats Catnip Fever Flavor, 16 oz. Tub",196183821354.0,Other,-,6.0,114.3,109.01,$0.00,$5.29,$0.00,$24.87,$0.00,$0.00,$15.71,$9.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,84.14,19.05,5,2,0
17,"Garden of Life Probiotic Supplement - Primal Defense Dietary Supplement, 90 Capl",196285885611.0,Other,-,6.0,515.12,512.97,$0.00,$2.15,$0.00,$115.71,$0.00,$0.00,$64.81,$46.35,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.55,397.26,85.85,6,0,0
18,"Samsung Stove Knob Replacement DG94-03500A/Z, DG94-04167, DG94-03500U - Models N",196287212102.0,Other,-,6.0,176.08,165.16,$0.00,$10.92,$0.00,$31.40,$0.00,$0.00,$23.75,$7.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,133.76,29.35,3,2,0
19,"Caribou Coffee, Medium Roast Ground Coffee, Caribou Blend 20 Ounce Bag",196119899850.0,Other,-,5.0,90.13,87.5,$0.00,$2.63,$0.00,$17.74,$0.00,$0.00,$11.43,$6.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,69.76,18.03,5,5,0
20,"Cascade Complete Powder Dishwasher Detergent, Fresh Scent, 75 oz, White",196124107091.0,Other,-,5.0,84.98,79.22,$0.00,$5.76,$0.00,$17.09,$0.00,$0.00,$11.89,$5.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,62.13,17.0,4,0,0
21,"Band-Aid Adhesive Bandages, Sensitive Skin, Hypoallergenic, XL, 7 ct.",196169178339.0,Other,-,5.0,53.16,49.32,$0.00,$3.84,$0.00,$11.95,$0.00,$0.00,$7.17,$4.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,37.37,10.63,5,0,0
22,"Ecover Automatic Dishwashing Tablets Zero, 25 Count, 17.6 Ounce",196169196129.0,Other,-,5.0,143.42,135.3,$0.00,$8.12,$0.00,$25.46,$0.00,$0.00,$18.31,$7.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,109.84,28.68,3,3,0
23,"PG Tips Premium Black Tea, Black Tea Pyramid Bags, 40 ct",196169216101.0,Other,-,5.0,82.16,81.35,$0.00,$0.81,$0.00,$11.34,$0.00,$0.00,$11.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,70.01,16.43,0,0,0
24,Uvex Clear Plus Lens Tissues (S475),196169241105.0,Other,-,5.0,110.09,101.7,$0.00,$8.39,$0.00,$23.54,$0.00,$0.00,$13.90,$7.82,$0.00,$0.00,$0.00,$1.82,$0.00,$0.00,$0.00,$0.00,78.16,22.02,5,0,0
25,"Sunbelt Bakery Chocolate Chip Chewy Granola Bars, 50 - 1.0 OZ Bars (5 Boxes)",196171276611.0,Other,-,5.0,117.0,116.75,$0.00,$0.25,$0.00,$22.02,$0.00,$0.00,$15.96,$6.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,94.73,23.4,3,2,0
26,"Spring Valley - Glucosamine Chondroitin, Triple Strength, 170 Tablets",196174516134.0,Other,-,5.0,40.82,40.82,$0.00,$0.00,$0.00,$9.82,$0.00,$0.00,$12.23,$4.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.54,$0.00,31.0,8.16,2,0,0
27,"Bob's Red Mill Oat Bran Hot Cereal, 18-ounce (Pack of 4)",196183781962.0,Other,-,5.0,142.76,139.81,$0.00,$2.95,$0.00,$34.50,$0.00,$0.00,$18.94,$8.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.72,105.31,28.55,3,2,0
28,"Bob's Red Mill Steel Cut Oats, 24-ounce (Pack of 4)",196183784501.0,Other,-,5.0,100.51,99.94,$0.00,$0.57,$0.00,$16.97,$0.00,$0.00,$15.06,$4.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2.21,$0.00,82.97,20.1,2,1,0
29,"Lundberg Family Farms Organic Jasmine Rice, California White, 32 Ounce",196183827663.0,Other,-,5.0,55.0,55.0,$0.00,$0.00,$0.00,$12.32,$0.00,$0.00,$7.09,$5.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.68,11.0,5,5,0
30,"Cascadian Farm Organic Granola, Oats and Honey Cereal, Resealable Pouch, 11 oz",196183835309.0,Other,-,5.0,46.25,46.25,$0.00,$0.00,$0.00,$10.27,$0.00,$0.00,$6.11,$4.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,35.98,9.25,5,0,0
31,"Tropical Fantasy Fruit Punch Premium Juice Cocktail, 22.5 Oz",196186681089.0,Other,-,5.0,30.35,28.1,$0.00,$2.25,$0.00,$6.78,$0.00,$0.00,$4.05,$2.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.32,6.07,5,0,0
